logged_at,reason,name,title,url,query
2026-04-26T11:03:21.224609Z,non_org_title,"List of Ngos, Charities and non-profits in Croatia - NGO Base","List of Ngos, Charities and non-profits in Croatia - NGO Base",,"""List of Ngos, Charities and non-profits in Croatia - NGO Base"" ""Croatia"" organization"
2026-04-26T11:03:21.776697Z,missing_url,HR/croatia-ngos,HR/croatia-ngos,,"""HR/croatia-ngos"" ""Croatia"" organization"
2026-04-26T11:03:22.337974Z,missing_url,Office for Cooperation with NGOs - Home - udruge,Office for Cooperation with NGOs - Home - udruge,,"""Office for Cooperation with NGOs - Home - udruge"" ""Croatia"" organization"
2026-04-26T11:03:22.903613Z,missing_url,EU Programmes Swiss,EU Programmes Swiss,,"""EU Programmes Swiss"" ""Croatia"" organization"
2026-04-26T11:03:23.462671Z,non_org_title,Associations and NGO in Croatia - Expat.com,Associations and NGO in Croatia - Expat.com,,"""Associations and NGO in Croatia - Expat.com"" ""Croatia"" organization"
2026-04-26T11:03:24.011231Z,non_org_title,"List of associations and NGOs in Croatia, non","List of associations and NGOs in Croatia, non",,"""List of associations and NGOs in Croatia, non"" ""Croatia"" organization"
2026-04-26T11:03:24.564584Z,non_org_title,List of NGOs in Croatia - GlobalGiving Atlas,List of NGOs in Croatia - GlobalGiving Atlas,,"""List of NGOs in Croatia - GlobalGiving Atlas"" ""Croatia"" organization"
2026-04-26T11:03:25.144025Z,missing_url,Register of Foundations of the Republic of Croatia,Register of Foundations of the Republic of Croatia,,"""Register of Foundations of the Republic of Croatia"" ""Croatia"" organization"
2026-04-26T11:03:25.715568Z,missing_url,A generally beneficial purpose in the sense of the Act,A generally beneficial purpose in the sense of the Act,,"""A generally beneficial purpose in the sense of the Act"" ""Croatia"" organization"
2026-04-26T11:03:26.311443Z,missing_url,5 Charities Operating in Croatia - The Borgen Project,5 Charities Operating in Croatia - The Borgen Project,,"""5 Charities Operating in Croatia - The Borgen Project"" ""Croatia"" organization"
2026-04-26T11:03:26.887608Z,missing_url,Nonprofit Organizations in Croatia - WorldPlaces,Nonprofit Organizations in Croatia - WorldPlaces,,"""Nonprofit Organizations in Croatia - WorldPlaces"" ""Croatia"" organization"
2026-04-26T11:03:27.444565Z,missing_url,"Vis, Splitsko","Vis, Splitsko",,"""Vis, Splitsko"" ""Croatia"" organization"
2026-04-26T11:03:28.000568Z,non_org_title,List Of Non-profit organizations in Croatia (Hrvatska),List Of Non-profit organizations in Croatia (Hrvatska),,"""List Of Non-profit organizations in Croatia (Hrvatska)"" ""Croatia"" organization"
2026-04-26T11:03:28.565324Z,missing_url,Non-profit organizations in Croatia,Non-profit organizations in Croatia,,"""Non-profit organizations in Croatia"" ""Croatia"" organization"
