logged_at,reason,name,title,url,query
2026-04-24T03:48:48.728357Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-24T03:48:49.271878Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-24T03:48:49.814972Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-24T03:48:50.363170Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-24T03:48:50.906871Z,missing_url,South Korea - Global Impact - Project World Impact,South Korea - Global Impact - Project World Impact,,"""South Korea - Global Impact - Project World Impact"" ""South Korea"" organization"
2026-04-24T03:48:51.460806Z,missing_url,Civil Society and NGOs Program - 서울대학교 아시아연구소,Civil Society and NGOs Program - 서울대학교 아시아연구소,,"""Civil Society and NGOs Program - 서울대학교 아시아연구소"" ""South Korea"" organization"
2026-04-24T03:48:52.010462Z,missing_url,NGOs and non,NGOs and non,,"""NGOs and non"" ""South Korea"" organization"
2026-04-24T03:48:52.554508Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-24T03:48:53.108056Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-24T03:48:53.658088Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-24T03:48:54.231693Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-24T03:48:54.809511Z,missing_url,단체통합 검색 < Ngo/Npo Db < 자원db < 사회공헌센터,단체통합 검색 < Ngo/Npo Db < 자원db < 사회공헌센터,,"""단체통합 검색 < Ngo/Npo Db < 자원db < 사회공헌센터"" ""South Korea"" organization"
2026-04-24T03:48:55.386076Z,missing_url,It includes profiles of non,It includes profiles of non,,"""It includes profiles of non"" ""South Korea"" organization"
2026-04-24T03:48:55.933501Z,missing_url,Non-profit organisations based in South Korea - FamousFix,Non-profit organisations based in South Korea - FamousFix,,"""Non-profit organisations based in South Korea - FamousFix"" ""South Korea"" organization"
2026-04-24T03:48:56.468834Z,missing_url,Good Neighbors is a non,Good Neighbors is a non,,"""Good Neighbors is a non"" ""South Korea"" organization"
