logged_at,reason,name,title,url,query
2026-04-26T14:21:16.645490Z,missing_url,Nacionalinė NVO koalicija - Vienijame 18 NVO ir jas vienijančių,Nacionalinė NVO koalicija - Vienijame 18 NVO ir jas vienijančių,,"""Nacionalinė NVO koalicija - Vienijame 18 NVO ir jas vienijančių "" ""Lithuania"" organization"
2026-04-26T14:21:17.191190Z,missing_url,The National Coalition of Non-Governmental Organisations,The National Coalition of Non-Governmental Organisations,,"""The National Coalition of Non-Governmental Organisations"" ""Lithuania"" organization"
2026-04-26T14:21:17.730772Z,non_org_title,"List of NGOs, Charities and Nonprofits in Vilnius","List of NGOs, Charities and Nonprofits in Vilnius",,"""List of NGOs, Charities and Nonprofits in Vilnius"" ""Lithuania"" organization"
2026-04-26T14:21:18.269927Z,missing_url,VI/vilnius-ngos,VI/vilnius-ngos,,"""VI/vilnius-ngos"" ""Lithuania"" organization"
2026-04-26T14:21:18.813857Z,non_org_title,"Below is a directory/list of Ngos, charities and non","Below is a directory/list of Ngos, charities and non",,"""Below is a directory/list of Ngos, charities and non"" ""Lithuania"" organization"
2026-04-26T14:21:19.351607Z,missing_url,About - NVO atlasas - nevyriausybinių organizacijų registras,About - NVO atlasas - nevyriausybinių organizacijų registras,,"""About - NVO atlasas - nevyriausybinių organizacijų registras"" ""Lithuania"" organization"
2026-04-26T14:21:19.899218Z,non_org_title,The NGO Atlas not only contains a list of non,The NGO Atlas not only contains a list of non,,"""The NGO Atlas not only contains a list of non"" ""Lithuania"" organization"
2026-04-26T14:21:20.441979Z,missing_url,Non-profit organizations in Lithuania - VisaLietuva.lt,Non-profit organizations in Lithuania - VisaLietuva.lt,,"""Non-profit organizations in Lithuania - VisaLietuva.lt"" ""Lithuania"" organization"
2026-04-26T14:21:20.981919Z,missing_url,"Unions, associations and other organisations Non","Unions, associations and other organisations Non",,"""Unions, associations and other organisations Non"" ""Lithuania"" organization"
2026-04-26T14:21:21.530533Z,missing_url,Non-governmental organizations (NGOs) operating in Lithuania,Non-governmental organizations (NGOs) operating in Lithuania,,"""Non-governmental organizations (NGOs) operating in Lithuania"" ""Lithuania"" organization"
2026-04-26T14:21:22.074364Z,non_org_title,List of NGOs in Lithuania - GlobalGiving Atlas,List of NGOs in Lithuania - GlobalGiving Atlas,,"""List of NGOs in Lithuania - GlobalGiving Atlas"" ""Lithuania"" organization"
2026-04-26T14:21:22.617988Z,missing_url,ALF - Atviros Lietuvos Fondas,ALF - Atviros Lietuvos Fondas,,"""ALF - Atviros Lietuvos Fondas"" ""Lithuania"" organization"
2026-04-26T14:21:23.160866Z,missing_url,The Open Lithuania Foundation is a non,The Open Lithuania Foundation is a non,,"""The Open Lithuania Foundation is a non"" ""Lithuania"" organization"
2026-04-26T14:21:23.705591Z,missing_url,Lithuania | NGO Explorer,Lithuania | NGO Explorer,,"""Lithuania | NGO Explorer"" ""Lithuania"" organization"
2026-04-26T14:21:24.249313Z,missing_url,Lithuania Online: Organizations,Lithuania Online: Organizations,,"""Lithuania Online: Organizations"" ""Lithuania"" organization"
