logged_at,reason,name,title,url,query
2026-04-27T00:04:17.999250Z,non_org_title,NGO Directory of Oman | arab.org,NGO Directory of Oman | arab.org,,"""NGO Directory of Oman | arab.org"" ""Oman"" organization"
2026-04-27T00:04:18.543004Z,non_org_title,Directory of Non,Directory of Non,,"""Directory of Non"" ""Oman"" organization"
2026-04-27T00:04:19.091201Z,non_org_title,Directory and Platform of NGOs / Charities,Directory and Platform of NGOs / Charities,,"""Directory and Platform of NGOs / Charities"" ""Oman"" organization"
2026-04-27T00:04:19.642912Z,missing_url,OM/oman-ngos,OM/oman-ngos,,"""OM/oman-ngos"" ""Oman"" organization"
2026-04-27T00:04:20.186798Z,missing_url,About the NGOs - Portal,About the NGOs - Portal,,"""About the NGOs - Portal"" ""Oman"" organization"
2026-04-27T00:04:20.736203Z,missing_url,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,,"""Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat "" ""Oman"" organization"
2026-04-27T00:04:21.288067Z,non_org_title,"The Growing Landscape of NGOs in Muscat Muscat, Oman","The Growing Landscape of NGOs in Muscat Muscat, Oman",,"""The Growing Landscape of NGOs in Muscat Muscat, Oman"" ""Oman"" organization"
2026-04-27T00:04:21.845246Z,missing_url,How many Non-profit organizations are in Oman in 2025,How many Non-profit organizations are in Oman in 2025,,"""How many Non-profit organizations are in Oman in 2025"" ""Oman"" organization"
2026-04-27T00:04:22.404053Z,non_org_title,Associations and NGO in Oman - Expat.com,Associations and NGO in Oman - Expat.com,,"""Associations and NGO in Oman - Expat.com"" ""Oman"" organization"
2026-04-27T00:04:22.956045Z,non_org_title,"List of associations and NGOs in Oman, non","List of associations and NGOs in Oman, non",,"""List of associations and NGOs in Oman, non"" ""Oman"" organization"
2026-04-27T00:04:23.496476Z,non_org_title,"List of NGOs, Charities and Nonprofits in Muscat - NGO Base","List of NGOs, Charities and Nonprofits in Muscat - NGO Base",,"""List of NGOs, Charities and Nonprofits in Muscat - NGO Base"" ""Oman"" organization"
2026-04-27T00:04:24.039880Z,missing_url,MU/muscat-ngos,MU/muscat-ngos,,"""MU/muscat-ngos"" ""Oman"" organization"
2026-04-27T00:04:24.591225Z,missing_url,Charitable Organizations in Oman | PDF | Oman | Disability,Charitable Organizations in Oman | PDF | Oman | Disability,,"""Charitable Organizations in Oman | PDF | Oman | Disability"" ""Oman"" organization"
2026-04-27T00:04:25.148199Z,missing_url,Charitable,Charitable,,"""Charitable"" ""Oman"" organization"
2026-04-27T00:04:25.696626Z,missing_url,Charitable Organizations - Portal,Charitable Organizations - Portal,,"""Charitable Organizations - Portal"" ""Oman"" organization"
2026-04-27T00:04:26.241596Z,missing_url,Charitable organizations are non,Charitable organizations are non,,"""Charitable organizations are non"" ""Oman"" organization"
